firm_code,rri_year,AnnualRRI_mean,AnnualRRI_median_event,AnnualRRI_min_event,AnnualRRI_max_event,AnnualRRI10,total_questions,n_events,event_type,event_ids,first_rri_firm_year,pre_outcome_year,control_year,outcome_year
000571,2019,75.28571429,75.28571428571429,75.28571429,75.28571429,7.528571429,14,1,Periodic,EVENT00043,1,2018,2019,2020
000606,2018,66.0,66.0,66.0,66.0,6.6,1,1,Concern,EVENT00236,1,2017,2018,2019
000609,2017,72.66666667,72.66666666666667,72.66666667,72.66666667,7.266666667,3,1,Concern,EVENT00196,1,2016,2017,2018
000612,2015,71.0,71.0,71.0,71.0,7.1,3,1,Concern,EVENT00130,1,2014,2015,2016
000657,2016,99.53333333,99.53333333,99.53333333,99.53333333,9.953333333,15,1,M&A,EVENT00170,1,2015,2016,2017
000659,2015,52.8,52.8,52.8,52.8,5.279999999999999,5,1,Concern,EVENT00008,1,2014,2015,2016
000659,2017,56.2,56.2,56.2,56.2,5.62,5,1,Periodic,EVENT00030,0,2016,2017,2018
000692,2017,38.0,38.0,38.0,38.0,3.8,4,1,Concern,EVENT00183,1,2016,2017,2018
000703,2018,77.375,77.375,77.375,77.375,7.7375,16,1,M&A,EVENT00033,1,2017,2018,2019
000717,2017,77.33333333,77.33333333333333,77.33333333,77.33333333,7.733333333,6,1,Periodic,EVENT00187,1,2016,2017,2018
000727,2020,72.44444444,72.44444444444444,72.44444444,72.44444444,7.244444444,9,1,M&A,EVENT00059,1,2019,2020,2021
000760,2016,84.5,84.5,84.5,84.5,8.45,12,1,Periodic,EVENT00160,1,2015,2016,2017
000762,2021,52.75,52.75,52.75,52.75,5.275,4,1,Concern,EVENT00067,1,2020,2021,2022
000800,2018,67.14285714,67.14285714285714,67.14285714,67.14285714,6.714285714000001,7,1,Periodic,EVENT00226,1,2017,2018,2019
000813,2016,21.92857143,21.928571428571427,21.92857143,21.92857143,2.1928571430000003,14,1,M&A,EVENT00143,1,2015,2016,2017
000815,2016,73.0,73.0,73.0,73.0,7.3,2,1,Concern,EVENT00141,1,2015,2016,2017
000818,2016,48.6425,48.6425,48.6425,48.6425,4.86425,4,1,Concern,EVENT00020,1,2015,2016,2017
000862,2017,27.8,27.8,27.8,27.8,2.78,10,1,M&A,EVENT00217,1,2016,2017,2018
000868,2021,67.14285714,67.14285714285714,67.14285714,67.14285714,6.714285714000001,7,1,Periodic,EVENT00063,1,2020,2021,2022
000892,2016,20.0,20.0,20.0,20.0,2.0,9,1,M&A,EVENT00148,1,2015,2016,2017
000903,2017,73.0,73.0,73.0,73.0,7.3,3,1,Concern,EVENT00021,1,2016,2017,2018
000911,2015,56.125,56.125,56.125,56.125,5.6125,8,1,Periodic,EVENT00123,1,2014,2015,2016
000938,2015,48.0,48.0,48.0,48.0,4.8,8,1,M&A,EVENT00121,1,2014,2015,2016
000972,2015,53.0,53.0,53.0,53.0,5.3,6,1,Periodic,EVENT00004,1,2014,2015,2016
000972,2017,48.6,48.6,48.6,48.6,4.86,5,1,Periodic,EVENT00026,0,2016,2017,2018
002012,2016,67.51,67.51,67.51,67.51,6.751,7,1,Concern,EVENT00153,1,2015,2016,2017
002057,2015,41.75,41.75,41.75,41.75,4.175,4,1,M&A,EVENT00117,1,2014,2015,2016
002092,2015,70.14285714,70.14285714285714,70.14285714,70.14285714,7.014285714000001,7,1,M&A,EVENT00006,1,2014,2015,2016
002110,2015,40.0,40.0,40.0,40.0,4.0,4,1,M&A,EVENT00111,1,2014,2015,2016
002137,2015,57.0952381,57.09523809523809,55.33333333,58.85714286,5.70952381,10,2,M&A,EVENT00005 | EVENT00127,1,2014,2015,2016
002138,2016,86.0,86.0,86.0,86.0,8.6,1,1,Concern,EVENT00167,1,2015,2016,2017
002168,2017,58.53333333,58.53333333333333,58.53333333,58.53333333,5.853333333,15,1,Periodic,EVENT00204,1,2016,2017,2018
002199,2018,72.42857143,72.42857142857143,72.42857143,72.42857143,7.242857143,7,1,Concern,EVENT00035,1,2017,2018,2019
002207,2022,69.0,69.0,69.0,69.0,6.9,3,1,Concern,EVENT00072,1,2021,2022,2023
002229,2022,56.5,56.5,56.5,56.5,5.65,2,1,Concern,EVENT00080,1,2021,2022,2023
002229,2023,37.25,37.25,37.25,37.25,3.725,4,1,Concern,EVENT00082,0,2022,2023,2024
002238,2015,52.5,52.5,52.5,52.5,5.25,4,1,M&A,EVENT00125,1,2014,2015,2016
002253,2024,72.66666667,72.66666666666667,72.66666667,72.66666667,7.266666667,6,1,Periodic,EVENT00094,1,2023,2024,2025
002280,2020,53.8,53.8,53.8,53.8,5.38,5,1,Concern,EVENT00060,1,2019,2020,2021
002290,2017,58.71428571,58.71428571428572,58.71428571,58.71428571,5.871428571,7,1,Periodic,EVENT00197,1,2016,2017,2018
002301,2015,73.42857143,73.42857142857143,73.42857143,73.42857143,7.342857143000001,7,1,M&A,EVENT00129,1,2014,2015,2016
002315,2023,68.314,68.314,68.314,68.314,6.8314,5,1,Concern,EVENT00085,1,2022,2023,2024
002390,2018,26.66666667,26.666666666666668,26.66666667,26.66666667,2.6666666670000003,3,1,Concern,EVENT00230,1,2017,2018,2019
002434,2017,72.46416667,72.46416666666666,72.46416667,72.46416667,7.246416667,12,1,M&A,EVENT00192,1,2016,2017,2018
